Voltage	Seconds	Hours   Minutes
4.999	10	0.003	0.17
4.998	20	0.006	0.33
4.998	30	0.008	0.50
4.998	40	0.011	0.67
4.998	50	0.014	0.83
4.998	60	0.017	1.00
4.998	70	0.019	1.17
4.998	80	0.022	1.33
4.998	90	0.025	1.50
4.998	100	0.028	1.67
4.998	110	0.031	1.83
4.998	120	0.033	2.00
4.998	130	0.036	2.17
4.998	140	0.039	2.33
4.998	150	0.042	2.50
4.998	160	0.044	2.67
4.998	170	0.047	2.83
4.998	180	0.050	3.00
4.998	190	0.053	3.17
4.998	200	0.056	3.33
4.998	210	0.058	3.50
4.998	220	0.061	3.67
4.998	230	0.064	3.83
4.998	240	0.067	4.00
4.998	250	0.069	4.17
4.998	260	0.072	4.33
4.998	270	0.075	4.50
4.998	280	0.078	4.67
4.998	290	0.081	4.83
4.998	300	0.083	5.00
4.998	310	0.086	5.17
4.998	320	0.089	5.33
4.998	330	0.092	5.50
4.998	340	0.094	5.67
4.998	350	0.097	5.83
4.998	360	0.100	6.00
4.998	370	0.103	6.17
4.998	380	0.106	6.33
4.998	390	0.108	6.50
4.998	400	0.111	6.67
4.998	410	0.114	6.83
4.998	420	0.117	7.00
4.998	430	0.119	7.17
4.998	440	0.122	7.33
4.998	450	0.125	7.50
4.998	460	0.128	7.67
4.998	470	0.131	7.83
4.998	480	0.133	8.00
4.998	490	0.136	8.17
4.998	500	0.139	8.33
4.998	510	0.142	8.50
4.998	520	0.144	8.67
4.998	530	0.147	8.83
4.998	540	0.150	9.00
4.998	550	0.153	9.17
4.998	560	0.156	9.33
4.998	570	0.158	9.50
4.998	580	0.161	9.67
4.998	590	0.164	9.83
4.998	600	0.167	10.00
4.998	610	0.169	10.17
4.998	620	0.172	10.33
4.998	630	0.175	10.50
4.998	640	0.178	10.67
4.998	650	0.181	10.83
4.998	660	0.183	11.00
4.998	670	0.186	11.17
4.998	680	0.189	11.33
4.998	690	0.192	11.50
4.998	700	0.194	11.67
4.998	710	0.197	11.83
4.998	720	0.200	12.00
4.998	730	0.203	12.17
4.998	740	0.206	12.33
4.998	750	0.208	12.50
4.998	760	0.211	12.67
4.998	770	0.214	12.83
4.998	780	0.217	13.00
4.998	790	0.219	13.17
4.998	800	0.222	13.33
4.998	810	0.225	13.50
4.997	820	0.228	13.67
4.996	830	0.231	13.83
4.995	840	0.233	14.00
4.994	850	0.236	14.17
4.993	860	0.239	14.33
4.992	870	0.242	14.50
4.991	880	0.244	14.67
4.99	890	0.247	14.83
4.989	900	0.250	15.00
4.988	910	0.253	15.17
4.987	920	0.256	15.33
4.986	930	0.258	15.50
4.985	940	0.261	15.67
4.984	950	0.264	15.83
4.983	960	0.267	16.00
4.982	970	0.269	16.17
4.981	980	0.272	16.33
4.98	990	0.275	16.50
4.979	1000	0.278	16.67
4.978	1010	0.281	16.83
4.977	1020	0.283	17.00
4.976	1030	0.286	17.17
4.975	1040	0.289	17.33
4.974	1050	0.292	17.50
4.973	1060	0.294	17.67
4.972	1070	0.297	17.83
4.971	1080	0.300	18.00
4.97	1090	0.303	18.17
4.969	1100	0.306	18.33
4.968	1110	0.308	18.50
4.967	1120	0.311	18.67
4.966	1130	0.314	18.83
4.965	1140	0.317	19.00
4.964	1150	0.319	19.17
4.965	1160	0.322	19.33
4.966	1170	0.325	19.50
4.967	1180	0.328	19.67
4.968	1190	0.331	19.83
4.969	1200	0.333	20.00
4.97	1210	0.336	20.17
4.971	1220	0.339	20.33
4.972	1230	0.342	20.50
4.973	1240	0.344	20.67
4.974	1250	0.347	20.83
4.975	1260	0.350	21.00
4.976	1270	0.353	21.17
4.977	1280	0.356	21.33
4.978	1290	0.358	21.50
4.979	1300	0.361	21.67
4.98	1310	0.364	21.83
4.98	1320	0.367	22.00
4.98	1330	0.369	22.17
4.98	1340	0.372	22.33
4.98	1350	0.375	22.50
4.98	1360	0.378	22.67
4.98	1370	0.381	22.83
4.98	1380	0.383	23.00
4.98	1390	0.386	23.17
